,Movie Titles,Runtime,Rating,Age Restriction,Genre,Writer(s),Director(s)
0,The Killer,1h 58m,6.9,15,"['Action', 'Adventure', 'Crime']","['Alexis NolentLuc JacamonAndrew Kevin Walker', 'Stars', 'Michael FassbenderTilda SwintonCharles Parnell']",['David Fincher']
1,The Marvels,1h 45m,6.0,12A,"['Action', 'Adventure', 'Fantasy']","['Nia DaCostaMegan McDonnellElissa Karasik', 'Stars', 'Brie LarsonTeyonah ParrisIman Vellani']",['Nia DaCosta']
2,The Hunger Games: The Ballad of Songbirds & Snakes,2h 37m,7.2,12A,"['Action', 'Adventure', 'Drama']","['Michael LesslieMichael ArndtSuzanne Collins', 'Stars', 'Rachel ZeglerTom BlythViola Davis']",['Francis Lawrence']
3,Tiger 3,2h 34m,7.7,2h 34m,"['Action', 'Adventure', 'Thriller']","['Shridhar RaghavanAnckur ChaudhryAditya Chopra', 'Stars', 'Salman KhanKatrina KaifEmraan Hashmi']",['Maneesh Sharma']
4,Madame Web,,,,"['Action', 'Adventure', 'Sci-Fi']","['Claire ParkerS.J. ClarksonKerem Sanga', 'Stars', 'Sydney SweeneyIsabela MercedDakota Johnson']",['S.J. Clarkson']
5,Five Nights at Freddy's,1h 49m,5.5,15,"['Horror', 'Mystery', 'Thriller']","['Scott CawthonSeth CuddebackEmma Tammi', 'Stars', 'Josh HutchersonPiper RubioElizabeth Lail']",['Emma Tammi']
6,Oppenheimer,3h,8.5,15,"['Biography', 'Drama', 'History']","['Christopher NolanKai BirdMartin Sherwin', 'Stars', 'Cillian MurphyEmily BluntMatt Damon']",['Christopher Nolan']
7,The Creator,2h 13m,7.0,12A,"['Action', 'Adventure', 'Drama']","['Gareth EdwardsChris Weitz', 'Stars', 'John David WashingtonMadeleine Yuna VoylesGemma Chan']",['Gareth Edwards']
8,Killers of the Flower Moon,3h 26m,8.0,15,"['Crime', 'Drama', 'History']","['Eric RothMartin ScorseseDavid Grann', 'Stars', 'Leonardo DiCaprioRobert De NiroLily Gladstone']",['Martin Scorsese']
9,Damsel,,,1h 25m,"['Action', 'Adventure', 'Fantasy']","['Dan Mazeau', 'Stars', 'Millie Bobby BrownRobin WrightShohreh Aghdashloo']",['Juan Carlos Fresnadillo']
10,Thanksgiving,1h 46m,7.1,18,"['Horror', 'Mystery', 'Thriller']","['Jeff RendellEli Roth', 'Stars', 'Patrick DempseyTy OlssonGina Gershon']",['Eli Roth']
11,Napoleon,,,15,"['Action', 'Adventure', 'Biography']","['David Scarpa', 'Stars', 'Joaquin PhoenixVanessa KirbyTahar Rahim']",['Ridley Scott']
12,Rebel Moon - Part One: A Child of Fire,,,15,"['Action', 'Adventure', 'Drama']","['Shay HattenKurt JohnstadZack Snyder', 'Stars', 'Sofia BoutellaEd SkreinJena Malone']",['Zack Snyder']
13,Saltburn,2h 7m,7.6,R,"['Comedy', 'Drama', 'Thriller']","['Emerald Fennell', 'Stars', 'Barry KeoghanJacob ElordiArchie Madekwe']",['Emerald Fennell']
14,A Haunting in Venice,1h 43m,6.6,12A,"['Crime', 'Drama', 'Horror']","['Michael GreenAgatha Christie', 'Stars', 'Kenneth BranaghMichelle YeohJamie Dornan']",['Kenneth Branagh']
15,Inside Out 2,,,,"['Animation', 'Adventure', 'Comedy']","['Meg LeFauve', 'Stars', 'Amy PoehlerPhyllis SmithLewis Black']",['Kelsey Mann']
16,The Holdovers,2h 13m,8.4,R,"['Comedy', 'Drama']","['David Hemingson', 'Stars', ""Paul GiamattiDa'Vine Joy RandolphDominic Sessa""]",['Alexander Payne']
17,No Hard Feelings,1h 43m,6.4,15,"['Comedy', 'Romance']","['Gene StupnitskyJohn Phillips', 'Stars', 'Jennifer LawrenceAndrew Barth FeldmanLaura Benanti']",['Gene Stupnitsky']
18,Barbie,1h 54m,7.0,12A,"['Adventure', 'Comedy', 'Fantasy']","['Greta GerwigNoah Baumbach', 'Stars', 'Margot RobbieRyan GoslingIssa Rae']",['Greta Gerwig']
19,Spider-Man: Across the Spider-Verse,2h 20m,8.7,PG,"['Animation', 'Action', 'Adventure']","['Phil LordChristopher MillerDave Callaham', 'Stars', 'Shameik MooreHailee SteinfeldBrian Tyree Henry']",[]
20,The Hunger Games,2h 22m,7.2,15,"['Action', 'Adventure', 'Sci-Fi']","['Gary RossSuzanne CollinsBilly Ray', 'Stars', 'Jennifer LawrenceJosh HutchersonLiam Hemsworth']",['Gary Ross']
21,Pain Hustlers,2h 3m,6.5,15,"['Crime', 'Drama']","['Wells TowerEvan Hughes', 'Stars', ""Emily BluntChris EvansCatherine O'Hara""]",['David Yates']
22,Nyad,2h 1m,7.1,15,"['Biography', 'Drama', 'Sport']","['Diana NyadJulia Cox', 'Stars', 'Annette BeningJodie FosterAnne Marie Kempf']",[]
23,Mission: Impossible - Dead Reckoning Part One,2h 43m,7.8,12A,"['Action', 'Adventure', 'Thriller']","['Bruce GellerChristopher McQuarrieErik Jendresen', 'Stars', 'Tom CruiseHayley AtwellVing Rhames']",['Christopher McQuarrie']
24,Priscilla,1h 53m,7.1,15,"['Biography', 'Drama', 'Music']","['Sofia CoppolaSandra HarmonPriscilla Presley', 'Stars', 'Cailee SpaenyJacob ElordiAri Cohen']",['Sofia Coppola']
25,Mean Girls,,,,"['Comedy', 'Musical']","['Tina Fey', 'Stars', 'Angourie RiceReneé RappJon Hamm']",[]
26,Locked In,1h 36m,5.1,15,"['Horror', 'Mystery', 'Thriller']","['Rowan Joffe', 'Stars', 'Famke JanssenRose WilliamsAlex Hassell']",['Nour Wazzi']
27,Jawan,2h 49m,7.1,15,"['Action', 'Thriller']","['Sumit AroraAtleeRamanagirivasan', 'Stars', 'Shah Rukh KhanNayantharaVijay Sethupathi']",['Atlee']
28,Trolls Band Together,1h 31m,6.0,U,"['Animation', 'Adventure', 'Comedy']","['Elizabeth TippetThomas Dam', 'Stars', 'Anna KendrickJustin TimberlakeKenan Thompson']",[]
29,Anyone But You,,,1h 40m,"['Comedy', 'Romance']","['Ilana WolpertWill Gluck', 'Stars', 'Sydney SweeneyGlen PowellAlexandra Shipp']",['Will Gluck']
30,The Garfield Movie,,,,"['Animation', 'Adventure', 'Comedy']","['Paul A. KaplanMark TorgoveDavid Reynolds', 'Stars', 'Hannah WaddinghamChris PrattSamuel L. Jackson']",['Mark Dindal']
31,Old Dads,1h 44m,6.2,15,['Comedy'],"['Bill BurrBen Tishler', 'Stars', 'Bill BurrBobby CannavaleBokeem Woodbine']",['Bill Burr']
32,Wish,,,U,"['Animation', 'Adventure', 'Comedy']","['Jennifer LeeAllison MooreChris Buck', 'Stars', 'Ariana DeBoseChris PineAlan Tudyk']",[]
33,Poor Things,2h 21m,8.5,R,"['Romance', 'Sci-Fi']","['Tony McNamaraAlasdair Gray', 'Stars', 'Emma StoneMark RuffaloWillem Dafoe']",['Yorgos Lanthimos']
34,Anatomy of a Fall,2h 31m,7.9,2023,"['Crime', 'Drama', 'Thriller']","['Justine TrietArthur Harari', 'Stars', 'Sandra HüllerSwann ArlaudMilo Machado Graner']",['Justine Triet']
35,X,1h 45m,6.5,18,"['Horror', 'Mystery', 'Thriller']","['Ti West', 'Stars', 'Mia GothJenna OrtegaBrittany Snow']",['Ti West']
36,Dream Scenario,1h 42m,7.3,15,"['Comedy', 'Horror']","['Kristoffer Borgli', 'Stars', 'Lily BirdNicolas CageJulianne Nicholson']",['Kristoffer Borgli']
37,Dumb Money,1h 45m,7.0,15,"['Biography', 'Comedy', 'Drama']","['Lauren Schuker BlumRebecca AngeloBen Mezrich', 'Stars', ""Paul DanoPete DavidsonVincent D'Onofrio""]",['Craig Gillespie']
38,Blue Beetle,2h 7m,6.0,12A,"['Action', 'Adventure', 'Sci-Fi']","['Gareth Dunnet-Alcocer', 'Stars', 'Xolo MaridueñaBruna MarquezineBecky G']",['Angel Manuel Soto']
39,Reptile,2h 14m,6.8,15,"['Crime', 'Drama', 'Mystery']","['Grant SingerBenjamin BrewerBenicio Del Toro', 'Stars', 'Benicio Del ToroJustin TimberlakeEric Bogosian']",['Grant Singer']
40,Leo,2h 44m,7.7,18,"['Action', 'Crime', 'Drama']","['Lokesh KanagarajRathna KumarDeeraj Vaidy', 'Stars', 'Joseph VijayTrisha KrishnanSanjay Dutt']",['Lokesh Kanagaraj']
41,Talk to Me,1h 35m,7.1,15,"['Horror', 'Thriller']","['Danny PhilippouBill HinzmanDaley Pearson', 'Stars', 'Ari McCarthyHamish PhillipsKit Erhart-Bruce']",[]
42,Sound of Freedom,2h 11m,7.7,15,"['Biography', 'Crime', 'Drama']","['Rod BarrAlejandro Monteverde', 'Stars', 'Jim CaviezelMira SorvinoBill Camp']",['Alejandro Monteverde']
43,Wonka,,,PG,"['Adventure', 'Comedy', 'Family']","['Simon FarnabyPaul KingRoald Dahl', 'Stars', 'Timothée ChalametOlivia ColmanHugh Grant']",['Paul King']
44,Quiz Lady,1h 39m,6.7,R,['Comedy'],"[""Jen D'Angelo"", 'Stars', 'AwkwafinaSandra OhWill Ferrell']",['Jessica Yu']
45,Rumble Through the Dark,1h 56m,5.9,15,"['Action', 'Mystery', 'Thriller']","['Michael Farris Smith', 'Stars', 'Bella ThorneAaron EckhartRitchie Coster']",[]
46,Godzilla Minus One,2h 5m,7.8,2023,"['Action', 'Adventure', 'Drama']","['Takashi Yamazaki', 'Stars', 'Ryunosuke KamikiMinami HamabeYuki Yamada']",['Takashi Yamazaki']
47,When Evil Lurks,1h 39m,7.0,2023,['Horror'],"['Demián Rugna', 'Stars', 'Ezequiel RodríguezDemián SalomónSilvina Sabater']",['Demián Rugna']
48,The Equalizer 3,1h 49m,6.9,15,"['Action', 'Crime', 'Thriller']","['Richard WenkMichael SloanRichard Lindheim', 'Stars', 'Denzel WashingtonDakota FanningEugenio Mastrandrea']",['Antoine Fuqua']
49,The Iron Claw,,,2h 10m,"['Biography', 'Drama', 'Sport']","['Sean Durkin', 'Stars', 'Zac EfronJeremy Allen WhiteHarris Dickinson']",['Sean Durkin']
50,Next Goal Wins,1h 44m,6.5,12A,"['Comedy', 'Drama', 'Sport']","['Taika WaititiIain Morris', 'Stars', 'Michael FassbenderOscar KightleyKaimana']",['Taika Waititi']
51,Saw X,1h 58m,6.7,18,"['Horror', 'Mystery', 'Thriller']","['Pete GoldfingerJosh Stolberg', 'Stars', 'Tobin BellShawnee SmithSynnøve Macody Lund']",['Kevin Greutert']
52,Ghostbusters: Frozen Empire,,,,"['Adventure', 'Comedy', 'Fantasy']","['Gil KenanJason ReitmanIvan Reitman', 'Stars', 'Mckenna GraceCarrie CoonPaul Rudd']",['Gil Kenan']
53,The Hunger Games: Catching Fire,2h 26m,7.5,12A,"['Action', 'Adventure', 'Sci-Fi']","['Simon BeaufoyMichael ArndtSuzanne Collins', 'Stars', 'Jennifer LawrenceJosh HutchersonLiam Hemsworth']",['Francis Lawrence']
54,John Wick: Chapter 4,2h 49m,7.7,15,"['Action', 'Crime', 'Thriller']","['Shay HattenMichael FinchDerek Kolstad', 'Stars', 'Keanu ReevesLaurence FishburneGeorge Georgiou']",['Chad Stahelski']
55,The Burial,2h 6m,7.1,15,['Drama'],"['Doug WrightMaggie BettsJonathan Harr', 'Stars', 'Jamie FoxxTommy Lee JonesJurnee Smollett']",['Maggie Betts']
56,May December,1h 57m,7.4,15,"['Comedy', 'Drama']","['Samy BurchAlex Mechanik', 'Stars', 'Natalie PortmanChris TenzisCharles Melton']",['Todd Haynes']
57,Best. Christmas. Ever!,1h 22m,4.4,PG,"['Comedy', 'Romance']","['Todd Calgi GallicanoCharles Shyer', 'Stars', 'Heather GrahamBrandy NorwoodJason Biggs']",['Mary Lambert']
58,Journey to Bethlehem,1h 38m,6.6,PG,"['Adventure', 'Family', 'Musical']","['Adam AndersPeter Barsocchini', 'Stars', 'Milo ManheimAntonio BanderasFiona Palomo']",['Adam Anders']
59,Kingdom of the Planet of the Apes,,,,"['Action', 'Sci-Fi']","['Patrick AisonJosh FriedmanRick Jaffa', 'Stars', 'Freya AllanKevin DurandDichen Lachman']",['Wes Ball']
60,Home Alone,1h 43m,7.7,PG,"['Comedy', 'Family']","['John Hughes', 'Stars', 'Macaulay CulkinJoe PesciDaniel Stern']",['Chris Columbus']
61,The Godfather,2h 55m,9.2,15,"['Crime', 'Drama']","['Mario PuzoFrancis Ford Coppola', 'Stars', 'Marlon BrandoAl PacinoJames Caan']",['Francis Ford Coppola']
62,Interstellar,2h 49m,8.7,12A,"['Adventure', 'Drama', 'Sci-Fi']","['Jonathan NolanChristopher Nolan', 'Stars', 'Matthew McConaugheyAnne HathawayJessica Chastain']",['Christopher Nolan']
63,National Lampoon's Christmas Vacation,1h 37m,7.5,12,['Comedy'],"['John Hughes', 'Stars', ""Chevy ChaseBeverly D'AngeloJuliette Lewis""]",['Jeremiah S. Chechik']
64,Harry Potter and the Philosopher's Stone,2h 32m,7.6,2001,"['Adventure', 'Family', 'Fantasy']","['J.K. RowlingSteve Kloves', 'Stars', 'Daniel RadcliffeRupert GrintRichard Harris']",['Chris Columbus']
65,The Shawshank Redemption,2h 22m,9.3,15,['Drama'],"['Stephen KingFrank Darabont', 'Stars', 'Tim RobbinsMorgan FreemanBob Gunton']",['Frank Darabont']
66,Please Don't Destroy: The Treasure of Foggy Mountain,1h 32m,6.2,15,['Comedy'],"['Martin HerlihyJohn HigginsBen Marshall', 'Stars', 'Martin HerlihyJohn HigginsBen Marshall']",['Paul Briganti']
67,Captain Marvel,2h 3m,6.8,12A,"['Action', 'Adventure', 'Sci-Fi']","['Anna BodenRyan FleckGeneva Robertson-Dworet', 'Stars', 'Brie LarsonSamuel L. JacksonBen Mendelsohn']",[]
68,Fair Play,1h 53m,6.4,18,"['Drama', 'Mystery', 'Thriller']","['Chloe Domont', 'Stars', 'Phoebe DynevorAlden EhrenreichEddie Marsan']",['Chloe Domont']
69,Guardians of the Galaxy Vol. 3,2h 30m,7.9,12A,"['Action', 'Adventure', 'Comedy']","['James GunnJim StarlinStan Lee', 'Stars', 'Chris PrattChukwudi IwujiBradley Cooper']",['James Gunn']
70,Elemental,1h 41m,7.0,PG,"['Animation', 'Adventure', 'Comedy']","['John HobergKat LikkelBrenda Hsueh', 'Stars', 'Leah LewisMamoudou AthieRonnie Del Carmen']",['Peter Sohn']
71,The Super Mario Bros. Movie,1h 32m,7.1,PG,"['Animation', 'Adventure', 'Comedy']","['Matthew Fogel', 'Stars', 'Chris PrattAnya Taylor-JoyCharlie Day']",[]
72,Inside Out,1h 35m,8.1,U,"['Animation', 'Adventure', 'Comedy']","['Pete DocterRonnie Del CarmenMeg LeFauve', 'Stars', 'Amy PoehlerBill HaderLewis Black']",[]
73,Scott Pilgrim vs. the World,1h 52m,7.5,12A,"['Action', 'Comedy', 'Fantasy']","[""Michael BacallEdgar WrightBryan Lee O'Malley"", 'Stars', 'Michael CeraMary Elizabeth WinsteadKieran Culkin']",['Edgar Wright']
74,Fingernails,1h 53m,5.9,15,"['Drama', 'Romance', 'Sci-Fi']","['Christos NikouSam SteinerStavros Raptis', 'Stars', 'Jessie BuckleyRiz AhmedJeremy Allen White']",['Christos Nikou']
75,Mean Girls,1h 37m,7.1,12A,['Comedy'],"['Rosalind WisemanTina Fey', 'Stars', 'Lindsay LohanJonathan BennettRachel McAdams']",['Mark Waters']
76,BlackBerry,2h,7.4,15,"['Biography', 'Comedy', 'Drama']","['Jacquie McNishSean SilcoffMatt Johnson', 'Stars', 'Jay BaruchelGlenn HowertonMatt Johnson']",['Matt Johnson']
77,The Impossible,1h 54m,7.5,2012,"['Drama', 'History', 'Thriller']","['Sergio G. SánchezMaría Belón', 'Stars', 'Naomi WattsEwan McGregorTom Holland']",['J.A. Bayona']
78,The Nun II,1h 50m,5.6,15,"['Horror', 'Mystery', 'Thriller']","['Ian GoldbergRichard NaingAkela Cooper', 'Stars', 'Taissa FarmigaJonas BloquetStorm Reid']",['Michael Chaves']
79,The Boy and the Heron,2h 4m,7.5,2023,"['Animation', 'Adventure', 'Drama']","['Hayao Miyazaki', 'Stars', 'Soma SantokiMasaki SudaTakuya Kimura']",['Hayao Miyazaki']
80,Gran Turismo,2h 14m,7.2,12A,"['Action', 'Adventure', 'Drama']","['Jason HallZach BaylinAlex Tse', 'Stars', 'David HarbourOrlando BloomArchie Madekwe']",['Neill Blomkamp']
81,Past Lives,1h 45m,8.0,12A,"['Drama', 'Romance']","['Celine Song', 'Stars', 'Greta LeeTeo YooJohn Magaro']",['Celine Song']
82,Love Actually,2h 15m,7.6,15,"['Comedy', 'Drama', 'Romance']","['Richard Curtis', 'Stars', 'Hugh GrantMartine McCutcheonLiam Neeson']",['Richard Curtis']
83,The Batman,2h 56m,7.8,15,"['Action', 'Crime', 'Drama']","['Matt ReevesPeter CraigBob Kane', 'Stars', 'Robert PattinsonZoë KravitzJeffrey Wright']",['Matt Reeves']
84,Deadpool 3,,,,"['Action', 'Comedy', 'Sci-Fi']","['Shawn LevyRob LiefeldWendy Molyneux', 'Stars', 'Emma CorrinRyan ReynoldsMorena Baccarin']",['Shawn Levy']
85,Asteroid City,1h 45m,6.6,12A,"['Comedy', 'Drama', 'Romance']","['Wes AndersonRoman Coppola', 'Stars', 'Jason SchwartzmanScarlett JohanssonTom Hanks']",['Wes Anderson']
86,The Marsh King's Daughter,1h 49m,6.3,R,"['Crime', 'Drama', 'Mystery']","['Elle SmithMark L. SmithKaren Dionne', 'Stars', 'Daisy RidleyBen MendelsohnBrooklynn Prince']",['Neil Burger']
87,Elf,1h 37m,7.1,PG,"['Adventure', 'Comedy', 'Family']","['David Berenbaum', 'Stars', 'Will FerrellJames CaanBob Newhart']",['Jon Favreau']
88,Totally Killer,1h 46m,6.6,15,"['Comedy', 'Horror']","[""David MatalonSasha Perl-RaverJen D'Angelo"", 'Stars', 'Kiernan ShipkaOlivia HoltCharlie Gillespie']",['Nahnatchka Khan']
89,Wingwomen,1h 56m,5.6,2023,"['Action', 'Comedy', 'Crime']","['Mélanie LaurentChristophe DeslandesCédric Anger', 'Stars', 'Adèle ExarchopoulosMélanie LaurentManon Bresch']",['Mélanie Laurent']
90,The Wolf of Wall Street,3h,8.2,18,"['Biography', 'Comedy', 'Crime']","['Terence WinterJordan Belfort', 'Stars', 'Leonardo DiCaprioJonah HillMargot Robbie']",['Martin Scorsese']
91,Dune,2h 35m,8.0,2021,"['Action', 'Adventure', 'Drama']","['Jon SpaihtsDenis VilleneuveEric Roth', 'Stars', 'Timothée ChalametRebecca FergusonZendaya']",['Denis Villeneuve']
92,Expend4bles,1h 43m,4.8,15,"['Action', 'Adventure', 'Thriller']","['Kurt WimmerTad DaggerhartMax Adams', 'Stars', 'Jason Statham50 CentMegan Fox']",['Scott Waugh']
93,Ferrari,2h 10m,6.7,R,"['Biography', 'Drama', 'History']","['Troy Kennedy MartinBrock Yates', 'Stars', 'Shailene WoodleyPatrick DempseyAdam Driver']",['Michael Mann']
94,Manodrome,1h 35m,4.8,15,"['Drama', 'Thriller']","['John Trengove', 'Stars', 'Jesse EisenbergAdrien BrodyOdessa Young']",['John Trengove']
95,Dungeons & Dragons: Honour Among Thieves,2h 14m,7.3,2023,"['Action', 'Adventure', 'Comedy']","['Jonathan GoldsteinJohn Francis DaleyMichael Gilio', 'Stars', 'Chris PineMichelle RodriguezRegé-Jean Page']",[]
96,The Breakfast Club,1h 37m,7.8,15,"['Comedy', 'Drama']","['John Hughes', 'Stars', 'Emilio EstevezJudd NelsonMolly Ringwald']",['John Hughes']
97,The Exorcist: Believer,1h 51m,4.9,15,['Horror'],"['Peter SattlerDavid Gordon GreenScott Teems', 'Stars', 'Lafortune JosephLeslie Odom Jr.Gastner Legerme']",['David Gordon Green']
98,Gone Girl,2h 29m,8.1,18,"['Drama', 'Mystery', 'Thriller']","['Gillian Flynn', 'Stars', 'Ben AffleckRosamund PikeNeil Patrick Harris']",['David Fincher']
99,The 355,2h 2m,5.6,12A,"['Action', 'Thriller']","['Theresa RebeckSimon Kinberg', 'Stars', 'Jessica ChastainPenélope CruzBingbing Fan']",['Simon Kinberg']
